,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
14,51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,75,22,0.55,0.06,19.01,0.25,7.71,0.54,393,909,3.31,9,8.8
15,52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,1.0,0.06,23.76,0.31,9.63,0.38,156,299,3.47,0,9.05
16,53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,103,39,0.45,0.08,256.71,0.22,102.77,0.57,399,941,3.45,14,9.14
17,54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,33,0,1.0,0.04,16.96,0.29,6.9,0.71,266,526,3.41,0,9.1
18,55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.43,0.03,17.52,0.29,7.13,0.6,205,409,3.38,0,9.32
19,56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,4,0.11,0.03,27.91,0.28,11.28,2.0,86,182,3.26,2,9.07
20,57.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,0.0,0.25,0.0,0.0,1,3,2.33,0,6.33
21,58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,35,68,-0.32,0.08,23.96,0.25,9.69,0.35,342,766,3.37,2,9.09
22,59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,14,0.2,0.05,23.0,0.24,9.29,0.23,169,397,3.3,3,8.89
23,60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,73,37,0.33,0.06,21.19,0.21,8.56,0.34,407,974,3.58,10,9.52
24,61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,52,3,0.89,0.09,15.02,0.27,6.12,0.44,174,370,3.31,4,8.95
25,62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,9,1,0.8,0.03,22.81,0.22,9.21,0.31,79,219,3.16,0,8.33
26,63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,28,9,0.51,0.04,23.35,0.24,9.43,0.6,238,584,3.12,4,8.34
27,64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,28,8,0.56,0.06,23.92,0.3,9.69,1.08,175,358,3.35,1,8.73
28,65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,19,8,0.41,0.07,13.96,0.23,5.68,0.22,87,186,3.97,0,10.39
29,66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,1.0,0.04,17.0,0.29,6.92,0.44,44,90,3.42,1,9.08
30,67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27,36,-0.14,0.08,14.8,0.18,5.99,0.04,142,419,3.39,16,9.04
31,68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,11,2,0.69,0.07,19.44,0.19,7.85,0.56,33,96,3.23,1,8.47
32,69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,51,18,0.48,0.06,17.77,0.33,7.24,0.43,354,647,3.56,0,9.38
33,70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,14,18,-0.12,0.06,19.44,0.26,7.88,0.33,139,300,3.25,8,8.77
34,71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,24,37,-0.21,0.06,21.39,0.2,8.64,0.35,214,560,3.36,7,9.03
35,72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,32,49,-0.21,0.05,23.41,0.28,9.48,0.47,475,979,3.51,14,9.37
36,73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,57,23,0.42,0.05,24.86,0.2,10.02,0.36,347,892,3.46,18,9.23
37,74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,48,25,0.32,0.05,21.24,0.21,8.58,0.24,306,824,3.15,15,8.5
38,75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,28,7,0.6,0.04,13.24,0.2,5.38,0.26,175,395,3.72,1,10.06
39,76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,50,8,0.72,0.04,24.56,0.2,9.9,0.14,279,670,3.56,4,9.54
40,77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,35,6,0.71,0.09,28.81,0.23,11.62,0.25,108,232,3.69,8,9.28
41,78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,46,16,0.48,0.04,23.6,0.27,9.55,0.48,422,928,3.34,7,8.77
42,79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,34,71,-0.35,0.11,14.17,0.21,5.75,0.29,208,512,3.53,6,9.13
43,80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,64,19,0.54,0.07,15.5,0.15,6.26,0.31,163,573,3.21,5,8.83
44,81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,28,42,-0.2,0.06,20.24,0.2,8.18,0.6,234,701,2.88,0,8.21
45,82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,37,26,0.17,0.04,15.51,0.26,6.3,0.55,360,823,3.29,8,8.86
46,83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,34,75,-0.38,0.11,15.42,0.22,6.25,0.23,218,527,3.52,7,9.14
47,84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,55,34,0.24,0.06,23.76,0.21,9.59,0.41,322,833,3.24,5,9.02
48,85.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,25,13,0.32,0.05,29.12,0.22,11.74,0.31,170,424,3.38,1,9.22
49,86.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,39,25,0.22,0.05,30.28,0.25,12.21,0.36,292,693,3.32,1,9.16
50,87.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,47,58,-0.1,0.06,21.58,0.26,8.73,0.47,475,1042,3.38,5,9.06
51,88.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,38,10,0.58,0.01,13.3,0.2,5.4,0.91,652,2189,2.63,0,7.58
52,89.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,37,52,-0.17,0.05,21.09,0.23,8.53,0.3,395,924,3.45,5,9.32
53,90.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29,62,-0.36,0.06,24.0,0.32,9.73,0.23,474,905,3.31,0,8.84
54,91.0,https://insights.blackcoffer.com/human-rights-outlook/,5,1,0.67,0.04,23.5,0.19,9.48,1.17,27,73,3.38,2,8.74
55,92.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,43,4,0.83,0.05,23.1,0.23,9.33,0.53,216,546,3.08,1,8.34
56,93.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,49,33,0.2,0.05,15.56,0.21,6.31,0.18,386,919,3.57,5,9.72
57,94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,55,14,0.59,0.04,19.39,0.26,7.86,0.48,437,971,3.24,5,8.79
58,95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,38,32,0.09,0.07,22.83,0.23,9.22,0.41,241,606,3.17,2,8.67
59,96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,44,-0.44,0.04,23.42,0.25,9.47,0.44,434,1025,3.13,1,8.72
60,97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,19,42,-0.38,0.06,19.75,0.23,7.99,0.4,215,542,3.24,3,8.79
61,98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,43,47,-0.04,0.07,16.9,0.22,6.85,0.13,269,623,3.52,37,9.26
62,99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,29,28,0.02,0.05,30.28,0.24,12.21,0.25,264,598,3.38,11,9.05
63,100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,24,45,-0.3,0.05,19.86,0.26,8.05,1.53,329,808,2.99,3,8.24
64,101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,6,3,0.33,0.05,22.88,0.19,9.22,0.88,34,97,3.2,2,8.42
65,102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,30,45,-0.2,0.07,19.11,0.2,7.72,0.32,222,602,3.21,13,8.71
66,103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,13,25,-0.32,0.06,18.55,0.22,7.51,0.73,136,370,3.01,3,8.34
67,104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,29,56,-0.32,0.08,21.78,0.26,8.82,0.14,286,647,3.3,2,9.03
68,105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,32,35,-0.04,0.06,28.11,0.21,11.32,0.34,219,522,3.56,5,9.61
69,106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,7,2,0.56,0.02,16.29,0.31,6.64,1.0,120,257,2.95,0,8.21
70,107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,26,3,0.79,0.05,17.74,0.18,7.17,0.71,107,353,2.9,4,7.96
71,108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,36,57,-0.23,0.09,30.18,0.26,12.18,0.74,269,593,3.32,1,9.12
72,109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,34,25,0.15,0.08,23.63,0.13,9.5,0.67,90,330,3.39,39,9.08
73,110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,9,38,-0.62,0.05,21.02,0.24,8.5,0.84,243,622,3.07,0,8.62
74,111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,22,33,-0.2,0.05,20.0,0.24,8.1,0.37,244,561,3.54,0,9.6
75,112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,32,52,-0.24,0.08,20.14,0.27,8.16,0.24,270,594,3.3,1,9.03
76,113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,27,35,-0.13,0.05,22.15,0.24,8.95,0.38,289,721,3.08,7,8.46
77,114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,47,47,0.0,0.06,21.22,0.22,8.57,0.16,334,842,3.29,2,8.93
78,115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,29,46,-0.23,0.04,19.54,0.25,7.91,0.33,450,1110,2.96,1,8.23
79,116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,28,25,0.06,0.06,36.21,0.12,14.53,0.33,106,469,2.9,43,7.92
80,117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,50,73,-0.19,0.07,25.18,0.25,10.17,0.67,455,1064,3.24,11,8.96
81,118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,47,58,-0.1,0.08,16.22,0.18,6.56,0.33,231,641,3.4,7,8.86
82,119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,9,14,-0.22,0.07,17.16,0.27,6.97,0.53,87,200,3.1,1,8.84
83,120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,50,91,-0.29,0.07,22.46,0.24,9.08,0.14,517,1311,2.99,1,8.49
84,121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,55,63,-0.07,0.07,25.25,0.16,10.17,0.3,261,750,3.53,35,9.48
85,122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,44,66,-0.2,0.06,17.46,0.24,7.08,0.86,402,992,3.11,10,8.51
86,123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,55,86,-0.22,0.08,23.36,0.24,9.44,0.9,436,1029,3.23,11,8.75
87,124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,56,79,-0.17,0.07,22.45,0.28,9.1,1.12,549,1178,3.16,8,8.66
88,125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,58,17,0.55,0.04,29.84,0.25,12.04,0.18,464,996,3.47,2,9.45
89,126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,18,24,-0.14,0.05,26.87,0.23,10.84,0.19,194,467,3.3,3,8.99
90,127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,49,94,-0.31,0.09,20.41,0.26,8.27,0.23,406,920,3.31,6,9.02
91,128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,33,48,-0.19,0.08,16.57,0.23,6.72,0.47,231,525,3.42,4,9.07
92,129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,26,-0.53,0.06,19.28,0.25,7.81,0.47,156,383,3.07,1,8.42
93,130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,27,63,-0.4,0.05,33.26,0.24,13.4,1.66,396,1073,3.01,2,8.09
94,131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,99,32,0.51,0.08,23.96,0.26,9.69,0.28,446,1026,3.21,0,8.76
95,132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,30,20,0.2,0.04,21.65,0.25,8.76,1.76,342,755,3.43,5,9.33
96,133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,58,34,0.26,0.09,24.24,0.34,9.83,1.85,339,624,3.44,0,9.3
97,134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,12,15,-0.11,0.08,32.45,0.32,13.11,0.64,115,217,3.57,4,9.27
98,135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,11,7,0.22,0.06,21.2,0.17,8.55,0.4,55,176,3.05,4,8.12
99,136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,1,13,-0.86,0.04,27.86,0.2,11.22,0.93,79,184,3.63,5,10.02
100,137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,5,7,-0.17,0.05,24.67,0.21,9.95,0.67,47,130,3.1,3,8.38
101,138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,6,10,-0.25,0.06,16.73,0.24,6.79,0.8,60,131,3.66,7,9.47
102,139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,30,7,0.62,0.12,12.91,0.29,5.28,0.57,85,203,2.94,0,8.1
103,140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,24,55,-0.39,0.08,20.2,0.23,8.17,0.35,242,602,3.07,0,8.51
104,141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,14,49,-0.56,0.06,25.0,0.19,10.08,1.15,190,535,3.17,4,8.78
105,142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,49,71,-0.18,0.07,21.99,0.27,8.9,1.94,488,1030,3.32,0,8.93
106,143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5,26,-0.68,0.05,18.88,0.21,7.64,0.41,129,333,3.3,1,9.11
107,144.0,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0,0,0.0,0.0,0.0,0.25,0.0,0.0,1,3,2.33,0,6.33
108,145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,25,17,0.19,0.04,27.89,0.22,11.25,1.89,228,569,3.33,2,9.32
109,146.0,https://insights.blackcoffer.com/blockchain-for-payments/,28,26,0.04,0.06,16.72,0.26,6.79,0.49,233,525,3.23,9,9.06
110,147.0,https://insights.blackcoffer.com/the-future-of-investing/,44,16,0.47,0.04,18.65,0.26,7.56,0.35,398,954,3.02,2,8.19
111,148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,30,44,-0.19,0.07,15.58,0.29,6.35,0.31,325,665,3.24,2,8.56
112,149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,35,4,0.79,0.06,23.13,0.32,9.38,1.0,225,413,3.48,0,9.49
113,150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,47,40,0.08,0.08,16.08,0.23,6.52,0.25,240,581,3.34,8,8.88
